name,current_price,market_cap,price_category
Bitcoin,71252.0,1425706100934,alto
Ethereum,2198.36,265267855508,alto
Tether,0.999999,184113450452,bajo
XRP,1.35,82807911749,bajo
BNB,605.84,82631359329,bajo
USDC,1.0,78265740029,bajo
Solana,82.86,47538276610,bajo
TRON,0.317961,30129264878,bajo
Figure Heloc,1.032,17103808711,bajo
Dogecoin,0.093019,14304232751,bajo
